datetime,subject_id,measurement_moment,test_condition,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10
2026-01-12 13:13:07,0,before,game,1862,683,865,501,814,1284,874,631,489,849
2026-01-12 13:21:36,0,after,game,849,782,599,682,415,599,548,649,499,416
2026-01-13 10:54:53,7,before,game,2132,1466,648,566,567,816,464,450,1032,934
2026-01-13 11:01:46,7,after,game,1064,833,983,699,582,999,999,848,1266,1449
2026-01-13 11:11:18,8,before,real,2167,1866,1282,1499,1399,1117,1031,1881,1215,1314
2026-01-13 11:18:10,8,after,real,448,1215,1116,983,1065,949,1433,1132,1082,967
2026-01-13 11:25:27,9,before,game,1381,1699,1815,1583,1412,1916,1348,1250,1015,1050
2026-01-13 11:31:14,9,after,game,1248,1283,1098,1249,1015,1466,1316,1049,1232,1066
2026-01-13 11:44:30,10,before,real,1049,666,816,932,931,1050,617,815,965,598
2026-01-13 11:50:16,10,after,real,780,1132,683,548,948,916,631,566,564,616
2026-01-13 12:01:20,11,before,game,981,1615,1265,816,899,1716,1849,967,1815,748
2026-01-13 12:09:38,11,after,game,749,716,649,1465,799,732,800,1231,682,599
2026-01-13 13:37:15,12,before,game,1081,1015,584,632,1014,633,681,1198,748,748
2026-01-13 14:03:33,12,after,game,715,699,749,551,599,365,483,449,599,316
2026-01-13 14:15:26,13,before,real,1417,831,783,765,683,1198,749,1065,1216,999
2026-01-13 14:21:24,13,after,real,715,948,1049,965,533,682,649,533,933,582
2026-01-13 14:29:58,12,before,real,4398,1133,884,1449,615,549,599,1599,449,933
2026-01-13 14:36:16,14,after,real,766,698,683,566,615,449,564,533,499,466
2026-01-13 15:36:48,15,before,game,1148,1416,1315,1361,782,1215,1366,1433,1765,933
2026-01-13 15:43:38,15,after,game,965,883,1315,1150,1133,782,999,865,815,699
2026-01-13 15:50:22,16,before,game,1299,1098,1349,1214,965,2200,1148,1049,1115,965
2026-01-13 15:55:58,16,after,game,1181,1014,883,949,1182,1299,932,916,1116,966
2026-01-13 16:01:28,17,before,real,1232,1015,983,1099,1032,1182,1515,1382,1047,1016
2026-01-13 16:07:28,17,after,real,948,915,849,782,932,733,733,749,682,1065
2026-01-13 16:13:59,18,before,real,1415,883,1115,849,765,882,1334,2132,1065,1383
2026-01-13 16:19:48,18,after,real,3482,1532,1182,882,1233,1249,1015,1349,1050,865
2026-01-13 18:57:55,19,before,real,1416,1298,1366,1132,1049,1749,1617,1349,1099,1267
2026-01-13 19:02:21,19,after,real,782,1798,1132,1182,1149,849,981,898,1216,1149
2026-01-13 19:05:55,20,before,game,899,1216,849,666,1248,1349,1132,1717,1932,1266
2026-01-13 19:11:02,20,after,game,666,632,933,998,749,766,1348,783,1116,1383
2026-01-13 19:21:52,22,before,game,2216,1549,1900,1532,1116,1032,1782,1099,966,849
2026-01-13 19:23:23,21,before,game,1900,984,1433,1200,1031,1082,1350,882,882,899
2026-01-13 19:31:19,22,after,game,1465,1182,1283,1133,1233,1065,1066,1584,1550,1116
2026-01-13 19:32:04,21,after,game,1131,1082,915,1031,949,967,916,4182,1083,1083
2026-01-13 20:04:26,23,before,real,682,1149,668,749,1981,932,1082,882,832,1966
2026-01-13 20:08:40,23,after,real,2782,999,999,916,798,816,2050,1030,832,2385
2026-01-13 20:22:51,24,before,real,1199,1199,984,2517,1132,1115,1181,865,799,799
2026-01-13 20:28:12,24,after,real,749,699,865,865,766,1649,1198,1134,983,816
